# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

p 2 0 3008 5152 8999 4874
p 2 1495 5385 1280 98905 18004
p 2 656 3752 3752 44119 11252
p 2 256 2520 5384 16561 5957
p 2 886 4281 2993 60410 11984
p 2 415 4441 3304 28397 9346
p 2 493 5030 2637 39156 10897
p 2 731 6454 975 90309 16007
p 2 704 5276 2180 46799 13038
p 2 0 3371 4789 9813 5502
p 2 214 4993 2953 62507 10795
p 2 1329 3448 3383 44033 11801
p 2 1613 4617 1930 54306 14451
p 2 1065 6270 825 82283 16239
p 2 320 5148 2692 33858 10556
p 2 661 4296 3203 51074 11768
p 2 424 4554 3182 76335 13037
p 2 32 3708 4420 24582 7777
p 2 0 3032 5128 9044 4798
p 2 133 4841 3186 64134 10605
p 2 1211 5008 1941 68147 15436
p 2 673 3244 4243 42675 10609
p 2 542 4199 3419 72493 11281
p 2 772 3715 3673 24476 9187
p 2 410 4132 3618 26469 8812
p 2 586 5851 1723 72201 13680
p 2 473 6197 1490 49122 12738
p 2 675 5076 2409 43949 12059
p 2 162 4787 3211 53698 9913
p 2 0 3811 4349 10230 5726
p 2 1351 3147 3662 42511 11064
p 2 2016 4479 1665 96235 17492
p 2 986 5872 1302 45370 13758
p 2 338 4776 3046 33763 10000
p 2 930 5239 1991 96248 16217
p 2 391 3578 4191 37410 9846
p 2 31 3085 5044 22384 7014
p 2 55 4773 3332 52901 9163
p 2 0 3673 4487 10702 5714
p 2 1538 4452 2170 66346 15494
p 2 859 4438 2863 79219 14397
p 2 252 3207 4701 20290 7015
i 2 8160 0 0 354008 38502
p 2 6 2982 5172 20279 4722
p 2 14 2699 5447 25486 4642
p 2 21 2637 5502 33999 4845
p 2 8 2800 5352 26547 4765
p 2 8 2476 5676 19758 4195
p 2 20 2139 6001 35702 4531
p 2 6 2376 5778 23141 4292
p 2 13 2752 5395 25425 4765
p 2 21 2431 5708 32059 4560
p 2 17 2096 6047 25343 4189
p 2 11 2471 5678 23287 4384
p 2 31 2766 5363 37134 5171
p 2 6 2328 5826 20648 4101
p 2 19 2173 5968 26714 4299
p 2 31 2378 5751 37195 4780
p 2 14 2655 5491 27651 4754
p 2 8 2382 5770 21473 4159
p 2 30 2245 5885 40151 4823
p 2 18 2507 5635 26928 4555
p 2 16 2767 5377 28991 4874
p 2 35 2444 5681 36529 4847
p 2 29 2437 5694 31211 4680
p 2 19 2934 5207 31886 5188
p 2 53 3061 5046 43780 5726
p 2 11 1998 6151 27018 4003
p 2 35 2948 5177 33411 5256
p 2 50 3097 5013 46263 5849
p 2 18 2638 5504 27938 4780
p 2 7 1568 6585 23332 3477
p 2 67 2696 5397 46573 5590
p 2 20 2769 5371 31300 5069
p 2 23 2596 5541 27784 4758
p 2 39 1590 6531 38803 4113
p 2 27 2622 5511 31253 4947
p 2 23 2705 5432 32311 5028
p 2 50 2725 5385 44831 5477
p 2 13 1692 6455 25266 3687
p 2 21 2820 5319 32589 5184
p 2 62 2834 5264 47059 5788
p 2 18 2825 5317 29602 5040
p 2 12 1773 6375 25228 3750
p 2 56 2831 5273 49360 5890
p 2 25 2906 5229 33279 5346
p 2 14 2815 5331 30475 5038
p 2 53 1667 6440 41496 4360
p 2 31 2819 5310 35948 5369
p 2 18 2868 5274 34571 5313
p 2 60 3265 4835 52503 6329
p 2 14 2541 5605 30237 4717
p 2 34 3346 4780 37499 5920
p 2 62 3477 4621 55017 6820
p 2 32 3143 4985 33518 5624
p 2 15 2919 5226 31397 5130
p 2 82 3288 4790 55546 6662
p 2 26 2762 5372 34187 5230
p 2 33 3267 4860 33886 5748
p 2 73 2846 5241 46864 5739
p 2 27 2989 5144 36396 5526
p 2 35 3028 5097 33935 5490
p 2 82 3290 4788 53382 6605
p 2 12 2683 5465 28047 4763
p 2 24 2935 5201 36841 5452
p 2 52 3031 5077 54625 6284
p 2 37 3256 4867 37258 5914
p 2 15 2954 5191 28580 5062
p 2 32 3310 4818 56718 6557
p 2 37 3200 4923 36471 5876
p 2 41 3359 4760 36605 5957
p 2 31 2560 5569 48458 5346
p 2 29 3229 4902 39822 5925
p 2 38 3045 5077 36253 5704
p 2 66 3051 5043 54935 6358
p 2 6 1795 6359 7915 3208
p 2 23 2504 5633 15846 4335
p 2 21 2654 5485 18803 4674
p 2 29 2435 5696 15727 4404
p 2 9 1388 6763 6527 2734
p 2 23 2365 5772 15789 4197
p 2 23 2590 5547 17891 4568
p 2 31 2296 5833 15127 4242
p 2 6 1223 6931 5894 2532
p 2 21 2317 5822 15201 4120
i 2 8160 0 0 321060 39216
p 2 7 2362 5791 7797 3819
p 2 40 1770 6350 6730 3241
p 2 881 5800 1479 66023 13993
p 2 927 5673 1560 61670 13958
p 2 22 3612 4526 12652 5404
p 2 131 2545 5484 35929 6010
p 2 953 5955 1252 68277 14462
p 2 1111 5872 1177 86054 15580
p 2 23 3645 4492 13199 5343
p 2 169 3926 4065 42175 7538
p 2 966 5777 1417 63574 14078
p 2 1124 6000 1036 87973 15901
p 2 34 3605 4521 12101 5372
p 2 46 1927 6187 8599 3681
p 2 936 5741 1483 62184 13974
p 2 936 5818 1406 62713 14110
p 2 32 3082 5046 10120 4747
p 2 47 1723 6390 8189 3456
p 2 897 5838 1425 63015 14022
p 2 923 5798 1439 61598 14070
p 2 33 2921 5206 10114 4664
p 2 47 1687 6426 8003 3457
p 2 912 5855 1393 63150 14098
p 2 946 5843 1371 62887 14175
p 2 33 2984 5143 9965 4645
p 2 48 1715 6397 7850 3427
p 2 888 5969 1303 63998 14198
p 2 940 5826 1394 61832 14128
p 2 36 2925 5199 10911 4754
p 2 50 2063 6047 8963 3760
p 2 923 5831 1406 62086 14088
p 2 949 5762 1449 61453 14087
p 2 33 2766 5361 10384 4451
p 2 48 2083 6029 8425 3715
p 2 899 5799 1462 61811 13929
p 2 941 5696 1523 61274 13979
p 2 36 2867 5257 10788 4686
p 2 47 1790 6323 8046 3465
p 2 923 5770 1467 61846 13967
p 2 955 5655 1550 60954 13963
p 2 31 2640 5489 9546 4338
