# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

p 2 269 6541 1350 90004 10983
p 2 245 6878 1037 104533 11945
p 2 214 6791 1155 88911 10995
p 2 197 6720 1243 89207 10793
p 2 199 6663 1298 83050 10747
p 2 325 6554 1281 94347 11708
p 2 454 6535 1171 106510 12852
p 2 624 6344 1192 129092 14120
p 2 716 6392 1052 136982 14664
p 2 755 6390 1015 137790 14699
p 2 692 6444 1024 136841 14319
p 2 586 6552 1022 129647 13909
p 2 506 6667 987 116532 13210
p 2 448 6744 968 113999 13075
p 2 348 6841 971 103497 12511
p 2 300 6764 1096 103411 12026
p 2 255 6801 1104 89580 11626
p 2 218 6894 1048 85453 11509
p 2 185 6825 1150 88872 11302
p 2 186 6934 1040 79165 11396
p 2 155 6936 1069 79609 11195
p 2 120 6947 1093 76095 10979
p 2 114 6916 1130 82053 10987
p 2 105 6985 1070 72319 10771
p 2 106 6952 1102 75062 10793
p 2 113 6850 1197 66952 10529
p 2 87 6983 1090 68091 10679
p 2 67 6884 1209 66535 10342
p 2 45 7007 1108 56177 10163
p 2 38 7063 1059 58270 10248
p 2 39 7001 1120 57722 10128
p 2 124 6896 1140 54129 10476
p 2 224 6829 1107 63351 11357
p 2 311 6727 1122 70852 11823
p 2 293 6817 1050 72665 12056
p 2 309 6688 1163 79411 12126
p 2 305 6762 1093 77745 12178
p 2 289 6790 1081 84319 12337
p 2 265 6740 1155 78519 11986
p 2 232 6786 1142 81330 11893
p 2 225 6774 1161 78845 11734
p 2 184 6764 1212 83507 11627
p 2 164 6740 1256 76407 11300
p 2 151 6874 1135 78497 11434
p 2 134 6761 1265 78918 11101
p 2 114 6871 1175 76001 11004
p 2 127 6832 1201 78109 11216
p 2 107 6841 1212 77815 11065
p 2 78 6832 1250 66591 10785
p 2 55 6989 1116 67113 10912
p 2 43 6879 1238 65691 10646
p 2 38 6854 1268 58364 10474
p 2 31 6886 1243 61653 10648
p 2 35 6899 1226 61761 10616
p 2 12 6934 1214 54328 10403
p 2 11 6931 1218 56265 10419
p 2 15 6903 1242 51352 10341
p 2 13 6983 1164 55293 10596
p 2 12 6839 1309 55088 10464
p 2 17 6916 1227 51077 10534
p 2 35 6952 1173 54123 10679
p 2 28 6892 1240 52220 10641
p 2 24 7116 1020 57023 11094
p 2 24 6896 1240 56966 10802
p 2 20 7084 1056 50801 10937
p 2 30 6927 1203 53013 10886
p 2 28 7022 1110 51085 10957
p 2 24 6987 1149 54339 10958
p 2 32 7031 1097 49519 10924
p 2 26 6958 1176 52875 10951
p 2 26 6939 1195 52551 10903
p 2 38 6895 1227 57687 11069
p 2 44 6909 1207 51475 10965
p 2 45 6952 1163 54482 11063
p 2 27 6941 1192 51865 10966
p 2 35 6977 1148 56461 11183
p 2 211 6793 1156 59616 11924
p 2 604 6443 1113 88654 14210
p 2 868 6131 1161 121238 15997
p 2 922 6179 1059 155044 16941
p 2 1036 6068 1056 162733 17570
p 2 772 6363 1025 167697 17141
p 2 621 6493 1046 163829 16283
p 2 455 6788 917 166179 15707
p 2 397 6912 851 154150 15647
p 2 382 6919 859 156199 15654
p 2 310 6967 883 145840 14874
p 2 307 6933 920 154420 14803
p 2 271 6893 996 135373 14183
p 2 257 6975 928 133184 14186
p 2 188 7060 912 125254 13725
p 2 111 7118 931 108380 13183
p 2 77 7224 859 104681 13147
p 2 59 7215 886 102668 12832
p 2 142 7127 891 91498 13115
p 2 289 6968 903 101157 13976
p 2 348 6894 918 122923 14514
p 2 356 6838 966 124170 14482
p 2 326 6942 892 117463 14335
p 2 301 6836 1023 121698 14102
p 2 251 7005 904 115370 13925
p 2 247 6884 1029 123966 13890
p 2 211 7050 899 108761 13742
p 2 137 7004 1019 109250 13330
p 2 112 7105 943 101513 13254
p 2 107 7017 1036 109320 13147
p 2 81 7053 1026 97440 12865
p 2 75 7096 989 97410 12835
p 2 80 7044 1036 93502 12866
p 2 93 7042 1025 81137 13043
p 2 75 7153 932 84066 12977
p 2 50 7051 1059 82038 12403
p 2 93 7036 1031 80075 12298
p 2 108 6951 1101 80072 12273
p 2 118 6940 1102 74376 12195
p 2 76 7002 1082 79864 12212
p 2 86 7025 1049 70315 12165
p 2 97 6919 1144 72831 12197
p 2 199 6917 1044 69667 12736
p 2 170 7005 985 74932 12833
p 2 92 6937 1131 74673 12376
p 2 74 6996 1090 68466 12386
p 2 141 6953 1066 72109 12817
p 2 164 6910 1086 70527 13029
p 2 103 6972 1085 72365 12712
p 2 111 7021 1028 63689 12525
p 2 116 6969 1075 65210 12411
p 2 60 6995 1105 62332 11979
p 2 84 6910 1166 66741 12149
p 2 120 6874 1166 61105 12113
p 2 102 6916 1142 66334 12103
p 2 105 6897 1158 64373 12030
p 2 93 6994 1073 70385 12321
p 2 24 7048 1088 74201 12089
p 2 68 7020 1072 67993 12380
p 2 404 6629 1127 85483 14148
p 2 819 6272 1069 104366 15821
p 2 928 6105 1127 130418 16464
p 2 948 6102 1110 137592 16751
p 2 809 6295 1056 145068 16489
p 2 516 6546 1098 146990 15858
p 2 372 6800 988 131063 15026
p 2 278 6912 970 126666 14620
p 2 222 6967 971 125766 14300
p 2 163 7047 950 111144 13713
p 2 155 7136 869 117274 13936
p 2 142 7124 894 111024 13740
