# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

p 2 0 203 717 1005 429
p 2 0 214 706 1094 448
p 2 0 239 681 1146 471
p 2 0 219 701 1056 447
p 2 0 234 686 1092 454
p 2 0 243 677 1174 480
p 2 0 234 686 1128 470
p 2 0 247 673 1153 483
p 2 0 226 694 1217 473
p 2 0 234 686 1160 465
p 2 0 198 722 928 408
p 2 0 136 784 561 344
p 2 0 181 739 721 391
p 2 0 174 746 806 385
p 2 0 198 722 838 413
p 2 0 180 740 888 404
p 2 0 191 729 922 408
p 2 0 204 716 956 429
p 2 0 217 703 1006 444
p 2 0 226 694 1044 453
p 2 0 230 690 1076 455
p 2 0 212 708 1115 448
i 2 920 0 0 28567 3920
p 2 35 885 0 13427 2032
p 2 33 887 0 13388 2016
p 2 15 905 0 12861 1954
p 2 20 900 0 12684 1926
p 2 25 895 0 12669 1930
p 2 23 897 0 12062 1901
p 2 17 903 0 12203 1887
p 2 23 897 0 11803 1885
p 2 17 903 0 12018 1845
p 2 19 901 0 11566 1783
p 2 15 905 0 11523 1847
p 2 0 853 67 4706 1121
p 2 0 836 84 5202 1121
p 2 0 844 76 5033 1144
p 2 0 850 70 5741 1169
p 2 0 855 65 5361 1166
p 2 0 836 84 5445 1139
p 2 0 835 85 5253 1146
p 2 0 838 82 5566 1154
p 2 0 839 81 5385 1143
p 2 0 835 85 5435 1130
p 2 0 830 90 5311 1143
p 2 0 839 81 5732 1161
p 2 0 866 54 5647 1174
p 2 0 827 93 5495 1134
p 2 0 825 95 5336 1132
p 2 0 852 68 5309 1170
p 2 0 852 68 5773 1166
p 2 0 838 82 5463 1158
p 2 0 832 88 5574 1147
p 2 0 830 90 5306 1140
p 2 0 845 75 5861 1183
p 2 0 820 100 5430 1148
p 2 0 844 76 5552 1157
p 2 0 845 75 5477 1180
p 2 0 836 84 5637 1160
p 2 0 850 70 5708 1186
p 2 0 839 81 5608 1163
p 2 0 842 78 5426 1166
p 2 0 864 56 5892 1191
p 2 0 862 58 5748 1205
p 2 0 856 64 5867 1197
p 2 0 846 74 5459 1168
p 2 0 860 60 5908 1197
p 2 0 834 86 5676 1149
p 2 0 862 58 5908 1203
p 2 0 864 56 5967 1218
p 2 0 864 56 6198 1208
p 2 0 857 63 5352 1182
p 2 0 825 95 5655 1140
p 2 0 847 73 5456 1180
p 2 0 842 78 5779 1174
